"Fact nr","Credit nota nr","Client-Auto-ID","Accountnaam","Factuurstraat","Factuurpostcode","Factuurplaats","Factuurland","BTW","Factuur datum","Vervaldag","Uw ref.","Offerteregelitem: totaalprijs","Verzending en afhandeling","Payment Terms","6% BTW.","21% BTW"
"172214","","1226","Ortho Eghezee - Calaer","Rue de la Chapelle, 15","5310","Eghezee","Belgium","BE0867582945","9/08/2017","24/08/2017","cde 02/08-Dereppe","64,35","0,00","15","3,86",""
"172215","","2703","Beauty & Vitality Care - Rollatortotaal.nl","Industrieweg 154 D","5683 CG","Best","Netherlands","NL852331897B01","9/08/2017","24/08/2017","4303871130-Zuijderduin","16,53","0,00","15","0,00",""
"172215","","2703","Beauty & Vitality Care - Rollatortotaal.nl","Industrieweg 154 D","5683 CG","Best","Netherlands","NL852331897B01","9/08/2017","24/08/2017","4303871130-Zuijderduin","10,00","0,00","15","0,00",""
"172216","","0462","Bandagisterie Cinquantenaire Bracke","Av. de la Chevalerie, 22","1000","Bruxelles","Belgium","BE0843012449","9/08/2017","24/08/2017","cde 02/08","17,40","10,00","15","1,64",""
"172217","","1943","DLN Mobiliteit - hq - Eindhout","Kerkhofweg 36","2430","Eindhout","Belgium","BE0562775192","9/08/2017","24/08/2017","best 02/08","280,80","0,00","15","16,85",""
"172218","","0527","Protos-Medica","Rue d'Hérinnes 5","7850","Enghien","Belgium","BE0463328616","9/08/2017","24/08/2017","cde 02/08","119,40","0,00","15","13,30",""
"172218","","0527","Protos-Medica","Rue d'Hérinnes 5","7850","Enghien","Belgium","BE0463328616","9/08/2017","24/08/2017","cde 02/08","102,22","0,00","15","13,30",""
"172219","","2703","Beauty & Vitality Care - Rollatortotaal.nl","Industrieweg 154 D","5683 CG","Best","Netherlands","NL852331897B01","9/08/2017","24/08/2017","4304360470-Post","181,83","0,00","15","0,00",""
"172219","","2703","Beauty & Vitality Care - Rollatortotaal.nl","Industrieweg 154 D","5683 CG","Best","Netherlands","NL852331897B01","9/08/2017","24/08/2017","4304360470-Post","16,53","0,00","15","0,00",""
"172219","","2703","Beauty & Vitality Care - Rollatortotaal.nl","Industrieweg 154 D","5683 CG","Best","Netherlands","NL852331897B01","9/08/2017","24/08/2017","4304360470-Post","10,00","0,00","15","0,00",""
"172220","","6481","Bloeddrukmeterswebshop.nl - Rollator.shop - Healthcare","Maarssenbroeksedijk 65","3606 AG","Maarssen","Netherlands","NL856843180B01","9/08/2017","24/08/2017","best 03/08","226,86","0,00","15","0,00",""
"172221","","6093","HipSupport.nl - INGMI","Stationsplein 7","7811 GW","Emmen","Netherlands","NL102733235B04","9/08/2017","24/08/2017","ORD20160993-Becker","55,86","0,00","15","0,00",""
"172221","","6093","HipSupport.nl - INGMI","Stationsplein 7","7811 GW","Emmen","Netherlands","NL102733235B04","9/08/2017","24/08/2017","ORD20160993-Becker","10,00","0,00","15","0,00",""
"172222","","1062","Mediotheek Bond Moyson Oost Vlaanderen","Tramstraat 69","9052","Zwijnaarde","Belgium","BE0445071533","9/08/2017","24/08/2017","best 03/08-stock art 28","382,80","0,00","15","22,97",""
"172223","","0460","Bandagisterie Brasseur","Rue du Midi 76-82","1000","Bruxelles","Belgium","BE0877884444","9/08/2017","24/08/2017","cde 6543","280,80","0,00","15","16,85",""
"172224","","0591","De Rijcker Geert Order BVBA","Ottergemsesteenweg Zuid 731","9000","Gent","Belgium","BE0464230320","9/08/2017","24/08/2017","best 03/08-Bombeeck Wilfried","204,44","0,00","15","12,27",""
"172225","","1452","Alphamed hq Ittre","Rue de Tubize 42","1460","Ittre","Belgium","BE0426402793","9/08/2017","9/08/2017","18956/1","52,20","0,00","0","60,55",""
"172225","","1452","Alphamed hq Ittre","Rue de Tubize 42","1460","Ittre","Belgium","BE0426402793","9/08/2017","9/08/2017","18956/1","957,00","0,00","0","60,55",""
"172226","","1014","Centrale Medical Auxi-Medico","Rue du Temple 33-39","7100","La Louvière","Belgium","BE0418901230","9/08/2017","24/08/2017","cde 03/08","52,20","0,00","15","23,75",""
"172226","","1014","Centrale Medical Auxi-Medico","Rue du Temple 33-39","7100","La Louvière","Belgium","BE0418901230","9/08/2017","24/08/2017","cde 03/08","34,80","0,00","15","23,75",""
"172226","","1014","Centrale Medical Auxi-Medico","Rue du Temple 33-39","7100","La Louvière","Belgium","BE0418901230","9/08/2017","24/08/2017","cde 03/08","17,40","0,00","15","23,75",""
"172226","","1014","Centrale Medical Auxi-Medico","Rue du Temple 33-39","7100","La Louvière","Belgium","BE0418901230","9/08/2017","24/08/2017","cde 03/08","204,44","0,00","15","23,75",""
"172226","","1014","Centrale Medical Auxi-Medico","Rue du Temple 33-39","7100","La Louvière","Belgium","BE0418901230","9/08/2017","24/08/2017","cde 03/08","17,40","0,00","15","23,75",""
"172226","","1014","Centrale Medical Auxi-Medico","Rue du Temple 33-39","7100","La Louvière","Belgium","BE0418901230","9/08/2017","24/08/2017","cde 03/08","52,20","0,00","15","23,75",""
"172226","","1014","Centrale Medical Auxi-Medico","Rue du Temple 33-39","7100","La Louvière","Belgium","BE0418901230","9/08/2017","24/08/2017","cde 03/08","17,40","0,00","15","23,75",""
"172227","","1393","Thuiszorgwinkel Linter","Sint-Truidensesteenweg 5","3350","Linter","Belgium","BE0462158775","9/08/2017","24/08/2017","best 03/08-TZW Linter","63,45","0,00","15","3,81",""
"172228","","0012","Vigo NV hq","Biezeweg 13","9230","Wetteren","Belgium","BE0444471717","9/08/2017","8/10/2017","4500629640","191,40","0,00","60","11,48",""
"172229","","0551","Orthopaedin","Sint Rochusstraat 28","2100","Deurne","Belgium","BE0403782987","9/08/2017","24/08/2017","best 04/08","191,40","0,00","15","22,97",""
"172229","","0551","Orthopaedin","Sint Rochusstraat 28","2100","Deurne","Belgium","BE0403782987","9/08/2017","24/08/2017","best 04/08","191,40","0,00","15","22,97",""
"172230","","0448","Thuiszorgwinkel hq Midden Vlaanderen CVBA","Industriepark 1","9052","Zwijnaarde","Belgium","BE0536323985","9/08/2017","24/08/2017","116297-TZW MVL","53,90","0,00","15","3,23",""
"172231","","0006","Tili - Escapo","Generaal De Wittelaan 4","2800","Mechelen","Belgium","BE0449707638","9/08/2017","24/08/2017","4500524882","1945,90","0,00","15","238,72",""
"172231","","0006","Tili - Escapo","Generaal De Wittelaan 4","2800","Mechelen","Belgium","BE0449707638","9/08/2017","24/08/2017","4500524882","10,40","0,00","15","238,72",""
"172231","","0006","Tili - Escapo","Generaal De Wittelaan 4","2800","Mechelen","Belgium","BE0449707638","9/08/2017","24/08/2017","4500524882","1945,90","0,00","15","238,72",""
"172231","","0006","Tili - Escapo","Generaal De Wittelaan 4","2800","Mechelen","Belgium","BE0449707638","9/08/2017","24/08/2017","4500524882","76,45","0,00","15","238,72",""
"172232","","0567","Spronken Orthopedie NV","Transportlaan 9","3600","Genk","Belgium","BE419238552","9/08/2017","24/08/2017","IOR17/00450","178,80","0,00","15","47,09",""
"172232","","0567","Spronken Orthopedie NV","Transportlaan 9","3600","Genk","Belgium","BE419238552","9/08/2017","24/08/2017","IOR17/00450","536,40","0,00","15","47,09",""
"172232","","0567","Spronken Orthopedie NV","Transportlaan 9","3600","Genk","Belgium","BE419238552","9/08/2017","24/08/2017","IOR17/00450","69,60","0,00","15","47,09",""
"172233","","2189","Thuiszorgwinkel hq Zorg en Farma","Ellermanstraat 74","2060","Antwerpen","Belgium","BE0400789251","9/08/2017","24/08/2017","best 02/08-TZW Massenhoven-Sergei/Van Hout Carolus","27,97","10,00","15","2,28",""
"172234","","6481","Bloeddrukmeterswebshop.nl - Rollator.shop - Healthcare","Maarssenbroeksedijk 65","3606 AG","Maarssen","Netherlands","NL856843180B01","9/08/2017","24/08/2017","best 07/08","226,86","0,00","15","0,00",""
"172235","","3040","De Verkoopfabriek - uwRollator.nl","Veemarktkade 8","5222AE","?s-Hertogenbosch","Netherlands","NL850142283B01","9/08/2017","24/08/2017","best 04/08","266,76","0,00","15","0,00",""
"172236","","1226","Ortho Eghezee - Calaer","Rue de la Chapelle, 15","5310","Eghezee","Belgium","BE0867582945","9/08/2017","24/08/2017","cde 04/08-Dereppe","64,35","0,00","15","3,86",""
"172237","","2935","NB Medical HQ - Abbeville","1 Rue Paul Vimereu","80100","Abbeville","France","FR16399204536","9/08/2017","24/08/2017","cde 01/08-Berck","258,70","20,00","15","0,00",""
"172237","","2935","NB Medical HQ - Abbeville","1 Rue Paul Vimereu","80100","Abbeville","France","FR16399204536","9/08/2017","24/08/2017","cde 01/08-Berck","29,40","20,00","15","0,00",""
"172237","","2935","NB Medical HQ - Abbeville","1 Rue Paul Vimereu","80100","Abbeville","France","FR16399204536","9/08/2017","24/08/2017","cde 01/08-Berck","-43,22","20,00","15","0,00",""
"172238","","2515","Harmonie Medical Service hq","2 avenue des hauts de la chaume","86280","Saint Benoit","France","FR30403324163","9/08/2017","24/08/2017","0200478208-Saint Benoit","363,66","0,00","15","0,00",""
"172238","","2515","Harmonie Medical Service hq","2 avenue des hauts de la chaume","86280","Saint Benoit","France","FR30403324163","9/08/2017","24/08/2017","0200478208-Saint Benoit","113,40","0,00","15","0,00",""
"172239","","3458","Distri Club Medical 05 Gap Laura","23, Boulevard d'Orient","05004","Gap","France","FR74385392402","9/08/2017","24/08/2017","4120","181,83","0,00","15","0,00",""
"172239","","3458","Distri Club Medical 05 Gap Laura","23, Boulevard d'Orient","05004","Gap","France","FR74385392402","9/08/2017","24/08/2017","4120","363,66","0,00","15","0,00",""
"172240","","1825","Bastide hq","12, Avenue de la Dame","30132","Caissargues","France","FR19305635039","9/08/2017","8/10/2017","4500780497-Gallargues","417,00","0,00","60","0,00",""
"172240","","1825","Bastide hq","12, Avenue de la Dame","30132","Caissargues","France","FR19305635039","9/08/2017","8/10/2017","4500780497-Gallargues","31,64","0,00","60","0,00",""
"172241","","3538","Molsheim Orthopedie - CVS","26 Route de Dachstein","67120","Molsheim","France","FR35334863149","9/08/2017","24/08/2017","cde 04/08","58,80","0,00","15","0,00",""
"172242","","2515","Harmonie Medical Service hq","2 avenue des hauts de la chaume","86280","Saint Benoit","France","FR30403324163","9/08/2017","24/08/2017","0200469143-HMS Montgermont-LGI argente","400,14","0,00","15","0,00",""
"172243","","1825","Bastide hq","12, Avenue de la Dame","30132","Caissargues","France","FR19305635039","9/08/2017","8/10/2017","4500776263 deuxième partie","400,14","0,00","60","0,00",""
"172243","","1825","Bastide hq","12, Avenue de la Dame","30132","Caissargues","France","FR19305635039","9/08/2017","8/10/2017","4500776263 deuxième partie","53,90","0,00","60","0,00",""
"172244","","3411","Prevenchute","1 Clos des vignes","60580","Coye La Foret","France","FR60514376854","9/08/2017","24/08/2017","7197349 - Vatinel","133,38","10,00","15","0,00",""
"172244","","3411","Prevenchute","1 Clos des vignes","60580","Coye La Foret","France","FR60514376854","9/08/2017","24/08/2017","7197349 - Vatinel","16,53","10,00","15","0,00",""
"172245","","5703","Materiel Medical Renoux","Rue de la Gare 3c","85330","Noirmoutier en l'ile","France","FR92325674455","9/08/2017","24/08/2017","cde 01/08-Berck","545,49","0,00","15","0,00",""
"172245","","5703","Materiel Medical Renoux","Rue de la Gare 3c","85330","Noirmoutier en l'ile","France","FR92325674455","9/08/2017","24/08/2017","cde 01/08-Berck","63,45","0,00","15","0,00",""
"172246","","1585","Pasolo","256 Rue Francis de Pressens","69100","Villeurbanne","France","FR63539094201","11/08/2017","26/08/2017","20170808PO18059-100035086-Heddebaut","636,75","10,00","15","0,00",""
"172247","","1141","Mobility by Olivier","Holstraat 115","1770","Liedekerke","Belgium","BE0814785548","11/08/2017","26/08/2017","Walker 14""- reeds geleverd","715,40","0,00","15","42,92",""
"172248","","0002","Thuiszorgwinkel hq West Vlaanderen NV","Brugsesteenweg 371","8800","Roeselare","Belgium","BE0860548465","11/08/2017","26/08/2017","Best Evie Pauwelyn 01/08/17-herstelling RM","154,73","0,00","15","9,28",""
"172249","","3657","Thuiszorgwinkel hq Scherpenheuvel","Mannenberg 257","3272","Scherpenheuvel","Belgium","BE0462158775","11/08/2017","26/08/2017","best 04/08","710,50","0,00","15","42,63",""
"172250","","1825","Bastide hq","12, Avenue de la Dame","30132","Caissargues","France","FR19305635039","11/08/2017","10/10/2017","4500780489-Dol de Bretagne","1740,15","0,00","60","0,00",""
"172250","","1825","Bastide hq","12, Avenue de la Dame","30132","Caissargues","France","FR19305635039","11/08/2017","10/10/2017","4500780489-Dol de Bretagne","3480,29","0,00","60","0,00",""
"172250","","1825","Bastide hq","12, Avenue de la Dame","30132","Caissargues","France","FR19305635039","11/08/2017","10/10/2017","4500780489-Dol de Bretagne","2438,39","0,00","60","0,00",""
"172251","","1067","Toussaint hq - Fleurus","Rue de Montigny 23","6000","Charleroi","Belgium","BE0416731202","11/08/2017","26/08/2017","cde 02/08-Jambes","258,70","0,00","15","13,19",""
"172251","","1067","Toussaint hq - Fleurus","Rue de Montigny 23","6000","Charleroi","Belgium","BE0416731202","11/08/2017","26/08/2017","cde 02/08-Jambes","-38,81","0,00","15","13,19",""
"172252","","0539","Orthopedie Thuer","Herentalsebaan, 414-416","2100","Deurne","Belgium","BE0422451430","11/08/2017","26/08/2017","best 04/08","524,30","0,00","15","31,46",""
"172253","","3411","Prevenchute","1 Clos des vignes","60580","Coye La Foret","France","FR60514376854","11/08/2017","26/08/2017","7202266-Peyrat-solde","10,83","0,00","15","0,00",""
"172254","","1696","Tousergo - Self Confort","7 Avenue Jean Perrin
Zac Ravennes les Francs","59910","Bondues","France","FR25504712894","11/08/2017","26/08/2017","9754","58,00","110,00","15","0,00",""
"172254","","1696","Tousergo - Self Confort","7 Avenue Jean Perrin
Zac Ravennes les Francs","59910","Bondues","France","FR25504712894","11/08/2017","26/08/2017","9754","229,95","110,00","15","0,00",""
"172254","","1696","Tousergo - Self Confort","7 Avenue Jean Perrin
Zac Ravennes les Francs","59910","Bondues","France","FR25504712894","11/08/2017","26/08/2017","9754","178,80","110,00","15","0,00",""
"172254","","1696","Tousergo - Self Confort","7 Avenue Jean Perrin
Zac Ravennes les Francs","59910","Bondues","France","FR25504712894","11/08/2017","26/08/2017","9754","203,40","110,00","15","0,00",""
"172254","","1696","Tousergo - Self Confort","7 Avenue Jean Perrin
Zac Ravennes les Francs","59910","Bondues","France","FR25504712894","11/08/2017","26/08/2017","9754","333,00","110,00","15","0,00",""
"172254","","1696","Tousergo - Self Confort","7 Avenue Jean Perrin
Zac Ravennes les Francs","59910","Bondues","France","FR25504712894","11/08/2017","26/08/2017","9754","7,00","110,00","15","0,00",""
"172255","","6210","Couleur Senior","15 Rue de Plélo","75015","Paris","France","FR89528650252","11/08/2017","26/08/2017","6216-Wilmus","181,83","0,00","15","0,00",""
"172255","","6210","Couleur Senior","15 Rue de Plélo","75015","Paris","France","FR89528650252","11/08/2017","26/08/2017","6216-Wilmus","10,00","0,00","15","0,00",""
"172256","","3411","Prevenchute","1 Clos des vignes","60580","Coye La Foret","France","FR60514376854","11/08/2017","26/08/2017","7259819-Durand","181,83","0,00","15","0,00",""
"172256","","3411","Prevenchute","1 Clos des vignes","60580","Coye La Foret","France","FR60514376854","11/08/2017","26/08/2017","7259819-Durand","10,00","0,00","15","0,00",""
"172257","","1602","Energie Medical Rousset hq Groupe Gaillard","425 Av Victoire","13106","Rousset","France","FR09303616304","11/08/2017","26/08/2017","cde 08/06","3,22","10,00","15","0,00",""
"172258","","3291","HMS Opfermann Medical Saint Avold","29, Boulevard de la Lorraine","57500","Saint Avold","France","FR69388538175","11/08/2017","26/08/2017","cde 02/08","551,85","0,00","15","0,00",""
"172258","","3291","HMS Opfermann Medical Saint Avold","29, Boulevard de la Lorraine","57500","Saint Avold","France","FR69388538175","11/08/2017","26/08/2017","cde 02/08","181,83","0,00","15","0,00",""
"172258","","3291","HMS Opfermann Medical Saint Avold","29, Boulevard de la Lorraine","57500","Saint Avold","France","FR69388538175","11/08/2017","26/08/2017","cde 02/08","35,70","0,00","15","0,00",""
"172258","","3291","HMS Opfermann Medical Saint Avold","29, Boulevard de la Lorraine","57500","Saint Avold","France","FR69388538175","11/08/2017","26/08/2017","cde 02/08","0,00","0,00","15","0,00",""
"172258","","3291","HMS Opfermann Medical Saint Avold","29, Boulevard de la Lorraine","57500","Saint Avold","France","FR69388538175","11/08/2017","26/08/2017","cde 02/08","29,40","0,00","15","0,00",""
"172258","","3291","HMS Opfermann Medical Saint Avold","29, Boulevard de la Lorraine","57500","Saint Avold","France","FR69388538175","11/08/2017","26/08/2017","cde 02/08","-4,41","0,00","15","0,00",""
"172259","","4459","Paramedical du Cygne - Cap Vital","13 rue de la maison rouge, ZI Nord","67600","Selestat","France","FR51351593488","11/08/2017","26/08/2017","cde 03/08","133,38","0,00","15","0,00",""
"172259","","4459","Paramedical du Cygne - Cap Vital","13 rue de la maison rouge, ZI Nord","67600","Selestat","France","FR51351593488","11/08/2017","26/08/2017","cde 03/08","58,80","0,00","15","0,00",""
"172259","","4459","Paramedical du Cygne - Cap Vital","13 rue de la maison rouge, ZI Nord","67600","Selestat","France","FR51351593488","11/08/2017","26/08/2017","cde 03/08","29,40","0,00","15","0,00",""
"172259","","4459","Paramedical du Cygne - Cap Vital","13 rue de la maison rouge, ZI Nord","67600","Selestat","France","FR51351593488","11/08/2017","26/08/2017","cde 03/08","58,80","0,00","15","0,00",""
"172259","","4459","Paramedical du Cygne - Cap Vital","13 rue de la maison rouge, ZI Nord","67600","Selestat","France","FR51351593488","11/08/2017","26/08/2017","cde 03/08","76,45","0,00","15","0,00",""
"172259","","4459","Paramedical du Cygne - Cap Vital","13 rue de la maison rouge, ZI Nord","67600","Selestat","France","FR51351593488","11/08/2017","26/08/2017","cde 03/08","113,40","0,00","15","0,00",""
"172259","","4459","Paramedical du Cygne - Cap Vital","13 rue de la maison rouge, ZI Nord","67600","Selestat","France","FR51351593488","11/08/2017","26/08/2017","cde 03/08","258,70","0,00","15","0,00",""
"172260","","2515","Harmonie Medical Service hq","2 avenue des hauts de la chaume","86280","Saint Benoit","France","FR30403324163","11/08/2017","26/08/2017","0200478565","551,85","10,00","15","0,00",""
"172260","","2515","Harmonie Medical Service hq","2 avenue des hauts de la chaume","86280","Saint Benoit","France","FR30403324163","11/08/2017","26/08/2017","0200478565","18,85","10,00","15","0,00",""
"172261","","4293","Medipost","Rue Ernest Solvay 27","4000","Liège","Belgium","BE0429783244","11/08/2017","26/08/2017","30735947","957,00","0,00","15","57,42",""
"172262","","1067","Toussaint hq - Fleurus","Rue de Montigny 23","6000","Charleroi","Belgium","BE0416731202","11/08/2017","26/08/2017","cde 08/08-Jambes","17,40","0,00","15","32,22",""
"172262","","1067","Toussaint hq - Fleurus","Rue de Montigny 23","6000","Charleroi","Belgium","BE0416731202","11/08/2017","26/08/2017","cde 08/08-Jambes","17,40","0,00","15","32,22",""
"172262","","1067","Toussaint hq - Fleurus","Rue de Montigny 23","6000","Charleroi","Belgium","BE0416731202","11/08/2017","26/08/2017","cde 08/08-Jambes","191,40","0,00","15","32,22",""
"172262","","1067","Toussaint hq - Fleurus","Rue de Montigny 23","6000","Charleroi","Belgium","BE0416731202","11/08/2017","26/08/2017","cde 08/08-Jambes","191,40","0,00","15","32,22",""
"172262","","1067","Toussaint hq - Fleurus","Rue de Montigny 23","6000","Charleroi","Belgium","BE0416731202","11/08/2017","26/08/2017","cde 08/08-Jambes","119,40","0,00","15","32,22",""
"172263","","0629","De Rijcker GO","Xavier de Cocklaan 82","9830","Sint-Martens-Latem","Belgium","BE0885672851","11/08/2017","26/08/2017","Best 07/08-Stock","191,40","0,00","15","11,48",""
"172264","","6395","Ortho Consult Ronse bvba","Ovide Decrolylaan 31","9600","Ronse","Belgium","BE0842539228","11/08/2017","26/08/2017","best 07/08","191,40","0,00","15","11,48",""
"172265","","0182","Aqtor NV - TOB","Herman Teirlinckstraat 15","9041","Oostakker","Belgium","BE0426419720","11/08/2017","10/10/2017","BL22419","1754,50","0,00","60","105,27",""
"172266","","3040","De Verkoopfabriek - uwRollator.nl","Veemarktkade 8","5222AE","?s-Hertogenbosch","Netherlands","NL850142283B01","11/08/2017","26/08/2017","210275-de Groot","10,00","0,00","15","0,00",""
"172266","","3040","De Verkoopfabriek - uwRollator.nl","Veemarktkade 8","5222AE","?s-Hertogenbosch","Netherlands","NL850142283B01","11/08/2017","26/08/2017","210275-de Groot","16,53","0,00","15","0,00",""
"172266","","3040","De Verkoopfabriek - uwRollator.nl","Veemarktkade 8","5222AE","?s-Hertogenbosch","Netherlands","NL850142283B01","11/08/2017","26/08/2017","210275-de Groot","226,86","0,00","15","0,00",""
"172267","","3040","De Verkoopfabriek - uwRollator.nl","Veemarktkade 8","5222AE","?s-Hertogenbosch","Netherlands","NL850142283B01","11/08/2017","26/08/2017","best 09/08","16,53","10,00","15","0,00",""
"172268","","2687","Kaphingst Online GmbH","Niederwettersche Straße 1","35094","Lahntal","Germany","DE814218512","11/08/2017","26/08/2017","70044308 -149123-Helianth","98,28","3,00","15","0,00",""
"172269","","6716","Zorg Totaal Groep","Hoorn 13","6713 KR","Ede","Netherlands","NL173938644B01","11/08/2017","26/08/2017","best 09/08","244,30","0,00","15","0,00",""
"172270","","2189","Thuiszorgwinkel hq Zorg en Farma","Ellermanstraat 74","2060","Antwerpen","Belgium","BE0400789251","11/08/2017","26/08/2017","TZWAntwerpen-best.Anette 11/08/17-reeds geleverd","371,40","0,00","15","22,28",""
"172271","","1810","MVD Medical","ZAC Pyramides/ Rue Bourreliers 447","59320","Hallennes Lez Haubourdin (Lille)","France","FR49478159734","14/08/2017","29/08/2017","16764","181,83","10,00","15","0,00",""
"172272","","3411","Prevenchute","1 Clos des vignes","60580","Coye La Foret","France","FR60514376854","14/08/2017","29/08/2017","7256503-Brelle","133,38","0,00","15","0,00",""
"172272","","3411","Prevenchute","1 Clos des vignes","60580","Coye La Foret","France","FR60514376854","14/08/2017","29/08/2017","7256503-Brelle","10,00","0,00","15","0,00",""
"172273","","3040","De Verkoopfabriek - uwRollator.nl","Veemarktkade 8","5222AE","?s-Hertogenbosch","Netherlands","NL850142283B01","14/08/2017","29/08/2017","best 26/07","11,20","10,00","15","0,00",""
"172274","","0780","Medizi","Parklaan 90","9100","Sint Niklaas","Belgium","BE0423095885","16/08/2017","31/08/2017","best 05/08","346,80","0,00","15","20,81",""
"172275","","0570","Orthopedie Bandagist Raes","Luikersteenweg 179/002","3800","Sint-Truiden","Belgium","BE0471462758","16/08/2017","31/08/2017","best 03/08","375,70","0,00","15","22,54",""
"172276","","0567","Spronken Orthopedie NV","Transportlaan 9","3600","Genk","Belgium","BE419238552","16/08/2017","31/08/2017","IOT17/00470","191,40","0,00","15","11,48",""
"172277","","0006","Tili - Escapo","Generaal De Wittelaan 4","2800","Mechelen","Belgium","BE0449707638","16/08/2017","31/08/2017","4500525400","42,90","0,00","15","44,33",""
"172277","","0006","Tili - Escapo","Generaal De Wittelaan 4","2800","Mechelen","Belgium","BE0449707638","16/08/2017","31/08/2017","4500525400","261,00","0,00","15","44,33",""
"172277","","0006","Tili - Escapo","Generaal De Wittelaan 4","2800","Mechelen","Belgium","BE0449707638","16/08/2017","31/08/2017","4500525400","261,00","0,00","15","44,33",""
"172277","","0006","Tili - Escapo","Generaal De Wittelaan 4","2800","Mechelen","Belgium","BE0449707638","16/08/2017","31/08/2017","4500525400","34,80","0,00","15","44,33",""
"172277","","0006","Tili - Escapo","Generaal De Wittelaan 4","2800","Mechelen","Belgium","BE0449707638","16/08/2017","31/08/2017","4500525400","52,20","0,00","15","44,33",""
"172277","","0006","Tili - Escapo","Generaal De Wittelaan 4","2800","Mechelen","Belgium","BE0449707638","16/08/2017","31/08/2017","4500525400","87,00","0,00","15","44,33",""
"172278","","0012","Vigo NV hq","Biezeweg 13","9230","Wetteren","Belgium","BE0444471717","16/08/2017","15/10/2017","4500630777","102,22","0,00","60","6,13",""
"172279","","1001","Leunen Orthopedie","Bisschoppenhoflaan 585","2100","Deurne","Belgium","BE0414492876","16/08/2017","31/08/2017","21701821","382,80","0,00","15","22,97",""
"172280","","2189","Thuiszorgwinkel hq Zorg en Farma","Ellermanstraat 74","2060","Antwerpen","Belgium","BE0400789251","16/08/2017","31/08/2017","best10/08-TZW Wijnegem","242,78","0,00","15","14,57",""
"172281","","0070","Thuiszorgwinkel hq Brussel Halle Vilvoorde","Wilgenlaan 1","1861","Meise","Belgium","BE0410149454","16/08/2017","31/08/2017","best 11/08-TZW Meise","389,18","0,00","15","70,05",""
"172281","","0070","Thuiszorgwinkel hq Brussel Halle Vilvoorde","Wilgenlaan 1","1861","Meise","Belgium","BE0410149454","16/08/2017","31/08/2017","best 11/08-TZW Meise","778,36","0,00","15","70,05",""
"172282","","0012","Vigo NV hq","Biezeweg 13","9230","Wetteren","Belgium","BE0444471717","16/08/2017","15/10/2017","4500631047","244,30","0,00","60","14,66",""
"172283","","0012","Vigo NV hq","Biezeweg 13","9230","Wetteren","Belgium","BE0444471717","16/08/2017","15/10/2017","4500631048","191,40","0,00","60","11,48",""
"172284","","0006","Tili - Escapo","Generaal De Wittelaan 4","2800","Mechelen","Belgium","BE0449707638","16/08/2017","31/08/2017","4500525750","972,95","0,00","15","59,66",""
"172284","","0006","Tili - Escapo","Generaal De Wittelaan 4","2800","Mechelen","Belgium","BE0449707638","16/08/2017","31/08/2017","4500525750","21,45","0,00","15","59,66",""
"172285","","0002","Thuiszorgwinkel hq West Vlaanderen NV","Brugsesteenweg 371","8800","Roeselare","Belgium","BE0860548465","16/08/2017","31/08/2017","205772/205528/205724","17,69","0,00","15","15,15",""
"172285","","0002","Thuiszorgwinkel hq West Vlaanderen NV","Brugsesteenweg 371","8800","Roeselare","Belgium","BE0860548465","16/08/2017","31/08/2017","205772/205528/205724","194,59","0,00","15","15,15",""
"172285","","0002","Thuiszorgwinkel hq West Vlaanderen NV","Brugsesteenweg 371","8800","Roeselare","Belgium","BE0860548465","16/08/2017","31/08/2017","205772/205528/205724","21,45","0,00","15","15,15",""
"172285","","0002","Thuiszorgwinkel hq West Vlaanderen NV","Brugsesteenweg 371","8800","Roeselare","Belgium","BE0860548465","16/08/2017","31/08/2017","205772/205528/205724","18,70","0,00","15","15,15",""
"172286","","6481","Bloeddrukmeterswebshop.nl - Rollator.shop - Healthcare","Maarssenbroeksedijk 65","3606 AG","Maarssen","Netherlands","NL856843180B01","16/08/2017","31/08/2017","bestelling 20/7 - Mark","-156,06","0,00","15","0,00",""
"172286","","6481","Bloeddrukmeterswebshop.nl - Rollator.shop - Healthcare","Maarssenbroeksedijk 65","3606 AG","Maarssen","Netherlands","NL856843180B01","16/08/2017","31/08/2017","bestelling 20/7 - Mark","375,70","0,00","15","0,00",""
"172286","","6481","Bloeddrukmeterswebshop.nl - Rollator.shop - Healthcare","Maarssenbroeksedijk 65","3606 AG","Maarssen","Netherlands","NL856843180B01","16/08/2017","31/08/2017","bestelling 20/7 - Mark","375,70","0,00","15","0,00",""
"172286","","6481","Bloeddrukmeterswebshop.nl - Rollator.shop - Healthcare","Maarssenbroeksedijk 65","3606 AG","Maarssen","Netherlands","NL856843180B01","16/08/2017","31/08/2017","bestelling 20/7 - Mark","375,70","0,00","15","0,00",""
"172287","","3040","De Verkoopfabriek - uwRollator.nl","Veemarktkade 8","5222AE","?s-Hertogenbosch","Netherlands","NL850142283B01","16/08/2017","31/08/2017","best 11/08","133,38","0,00","15","0,00",""
"172288","","1089","Ergo Home Consult","Rue de l'Artisanat 5","1400","Nivelles","Belgium","BE0474479656","16/08/2017","31/08/2017","09/08-Meloni+stock","257,40","0,00","15","15,44",""
"172289","","0488","Qualias hq Angleur Lambert","Route du Condroz 475","4031","Angleur","Belgium","BE0417114351","16/08/2017","31/08/2017","BC170855","382,80","0,00","15","22,97",""
